Date,Symbol,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,Day,Month,Year
2014-09-22,TATAMOTORS,515.0,542.5,514.0,540.05,5.34,-0.194,4.864,5.34,0.194,0.194,22,9,2014
2014-09-23,TATAMOTORS,541.7,542.6,516.1,517.8,0.166,-4.726,-4.412,4.726,0.166,0.166,23,9,2014
2014-09-24,TATAMOTORS,516.0,517.75,506.55,513.4,0.339,-1.831,-0.504,1.831,0.339,0.339,24,9,2014
2014-09-25,TATAMOTORS,512.7,514.75,500.0,504.35,0.4,-2.477,-1.629,2.477,0.4,0.4,25,9,2014
2014-09-26,TATAMOTORS,502.1,513.05,492.35,511.1,2.181,-1.942,1.792,2.181,1.942,1.942,26,9,2014
2014-09-29,TATAMOTORS,510.1,515.6,507.65,510.75,1.078,-0.48,0.127,1.078,0.48,0.48,29,9,2014
2014-09-30,TATAMOTORS,514.7,514.7,500.3,502.15,0.0,-2.798,-2.438,2.798,0.0,0.0,30,9,2014
2014-10-01,TATAMOTORS,501.2,507.4,499.25,502.75,1.237,-0.389,0.309,1.237,0.389,0.389,1,10,2014
2014-10-07,TATAMOTORS,502.75,516.8,502.75,504.95,2.795,0.0,0.438,2.795,0.0,0.0,7,10,2014
2014-10-08,TATAMOTORS,507.0,512.7,502.0,509.0,1.124,-0.986,0.394,1.124,0.986,0.986,8,10,2014
2014-10-09,TATAMOTORS,514.95,522.5,513.3,520.6,1.466,-0.32,1.097,1.466,0.32,0.32,9,10,2014
2014-10-10,TATAMOTORS,514.5,514.5,489.35,492.7,0.0,-4.888,-4.237,4.888,0.0,0.0,10,10,2014
2014-10-13,TATAMOTORS,490.0,498.2,480.05,496.25,1.673,-2.031,1.276,2.031,1.673,1.673,13,10,2014
2014-10-14,TATAMOTORS,498.9,500.2,486.1,488.0,0.261,-2.566,-2.185,2.566,0.261,0.261,14,10,2014
2014-10-16,TATAMOTORS,485.45,501.1,481.7,483.8,3.224,-0.772,-0.34,3.224,0.772,0.772,16,10,2014
2014-10-17,TATAMOTORS,483.75,483.75,468.0,475.8,0.0,-3.256,-1.643,3.256,0.0,0.0,17,10,2014
2014-10-20,TATAMOTORS,487.9,497.0,484.6,494.65,1.865,-0.676,1.383,1.865,0.676,0.676,20,10,2014
2014-10-21,TATAMOTORS,499.05,504.15,493.75,501.45,1.022,-1.062,0.481,1.062,1.022,1.022,21,10,2014
2014-10-22,TATAMOTORS,508.65,520.5,508.65,519.15,2.33,0.0,2.064,2.33,0.0,0.0,22,10,2014
2014-10-23,TATAMOTORS,519.0,519.0,514.6,515.65,0.0,-0.848,-0.645,0.848,0.0,0.0,23,10,2014
2014-10-27,TATAMOTORS,517.0,518.0,502.25,503.7,0.193,-2.853,-2.573,2.853,0.193,0.193,27,10,2014
2014-10-28,TATAMOTORS,505.7,511.3,503.05,508.65,1.107,-0.524,0.583,1.107,0.524,0.524,28,10,2014
2014-10-29,TATAMOTORS,515.5,527.45,515.5,526.2,2.318,0.0,2.076,2.318,0.0,0.0,29,10,2014
2014-10-30,TATAMOTORS,522.35,531.35,520.1,526.95,1.723,-0.431,0.881,1.723,0.431,0.431,30,10,2014
2014-10-31,TATAMOTORS,526.35,538.5,520.95,535.85,2.308,-1.026,1.805,2.308,1.026,1.026,31,10,2014
2014-11-03,TATAMOTORS,530.6,535.9,526.25,531.4,0.999,-0.82,0.151,0.999,0.82,0.82,3,11,2014
2014-11-05,TATAMOTORS,529.0,539.8,521.25,536.0,2.042,-1.465,1.323,2.042,1.465,1.465,5,11,2014
2014-11-07,TATAMOTORS,537.1,543.95,532.2,533.35,1.275,-0.912,-0.698,1.275,0.912,0.912,7,11,2014
2014-11-10,TATAMOTORS,530.75,534.45,518.75,522.3,0.697,-2.261,-1.592,2.261,0.697,0.697,10,11,2014
2014-11-11,TATAMOTORS,525.0,527.5,517.1,521.7,0.476,-1.505,-0.629,1.505,0.476,0.476,11,11,2014
2014-11-12,TATAMOTORS,523.4,536.9,521.9,531.85,2.579,-0.287,1.614,2.579,0.287,0.287,12,11,2014
2014-11-13,TATAMOTORS,533.0,536.0,523.45,526.75,0.563,-1.792,-1.173,1.792,0.563,0.563,13,11,2014
2014-11-14,TATAMOTORS,529.85,536.8,519.65,523.9,1.312,-1.925,-1.123,1.925,1.312,1.312,14,11,2014
2014-11-17,TATAMOTORS,520.0,547.55,520.0,545.25,5.298,0.0,4.856,5.298,0.0,0.0,17,11,2014
2014-11-18,TATAMOTORS,548.65,550.7,540.5,541.6,0.374,-1.485,-1.285,1.485,0.374,0.374,18,11,2014
2014-11-19,TATAMOTORS,544.05,544.95,522.5,529.5,0.165,-3.961,-2.674,3.961,0.165,0.165,19,11,2014
2014-11-20,TATAMOTORS,533.0,533.85,520.3,524.75,0.159,-2.383,-1.548,2.383,0.159,0.159,20,11,2014
2014-11-21,TATAMOTORS,528.55,539.4,527.2,531.0,2.053,-0.255,0.464,2.053,0.255,0.255,21,11,2014
2014-11-24,TATAMOTORS,531.0,538.65,525.0,526.4,1.441,-1.13,-0.866,1.441,1.13,1.13,24,11,2014
2014-11-25,TATAMOTORS,528.55,529.05,513.0,521.85,0.095,-2.942,-1.268,2.942,0.095,0.095,25,11,2014
2014-11-26,TATAMOTORS,521.7,524.8,515.0,519.95,0.594,-1.284,-0.335,1.284,0.594,0.594,26,11,2014
2014-11-27,TATAMOTORS,515.0,522.85,511.5,519.95,1.524,-0.68,0.961,1.524,0.68,0.68,27,11,2014
2014-11-28,TATAMOTORS,524.4,539.0,521.5,533.5,2.784,-0.553,1.735,2.784,0.553,0.553,28,11,2014
2014-12-01,TATAMOTORS,539.85,539.85,530.1,536.0,0.0,-1.806,-0.713,1.806,0.0,0.0,1,12,2014
2014-12-02,TATAMOTORS,535.7,535.8,528.1,528.95,0.019,-1.419,-1.26,1.419,0.019,0.019,2,12,2014
2014-12-03,TATAMOTORS,535.2,538.8,526.3,529.0,0.673,-1.663,-1.158,1.663,0.673,0.673,3,12,2014
2014-12-04,TATAMOTORS,534.0,537.25,522.0,527.75,0.609,-2.247,-1.17,2.247,0.609,0.609,4,12,2014
2014-12-05,TATAMOTORS,524.45,530.75,522.45,525.35,1.201,-0.381,0.172,1.201,0.381,0.381,5,12,2014
2014-12-08,TATAMOTORS,525.1,530.5,513.7,515.7,1.028,-2.171,-1.79,2.171,1.028,1.028,8,12,2014
2014-12-09,TATAMOTORS,517.25,520.85,501.35,503.25,0.696,-3.074,-2.707,3.074,0.696,0.696,9,12,2014
2014-12-10,TATAMOTORS,496.0,514.9,493.2,511.0,3.81,-0.565,3.024,3.81,0.565,0.565,10,12,2014
2014-12-11,TATAMOTORS,506.8,512.8,498.0,503.9,1.184,-1.736,-0.572,1.736,1.184,1.184,11,12,2014
2014-12-12,TATAMOTORS,498.9,507.75,496.0,499.95,1.774,-0.581,0.21,1.774,0.581,0.581,12,12,2014
2014-12-15,TATAMOTORS,494.9,501.8,492.35,493.95,1.394,-0.515,-0.192,1.394,0.515,0.515,15,12,2014
2014-12-16,TATAMOTORS,490.0,491.7,478.5,481.65,0.347,-2.347,-1.704,2.347,0.347,0.347,16,12,2014
2014-12-17,TATAMOTORS,478.6,486.4,468.65,475.8,1.63,-2.079,-0.585,2.079,1.63,1.63,17,12,2014
2014-12-18,TATAMOTORS,481.05,490.0,480.85,484.9,1.861,-0.042,0.8,1.861,0.042,0.042,18,12,2014
2014-12-19,TATAMOTORS,490.3,497.8,484.15,485.9,1.53,-1.254,-0.897,1.53,1.254,1.254,19,12,2014
2014-12-22,TATAMOTORS,486.1,497.3,481.35,494.7,2.304,-0.977,1.769,2.304,0.977,0.977,22,12,2014
2014-12-23,TATAMOTORS,496.8,501.45,485.6,488.15,0.936,-2.254,-1.741,2.254,0.936,0.936,23,12,2014
2014-12-24,TATAMOTORS,490.15,492.75,481.55,483.95,0.53,-1.755,-1.265,1.755,0.53,0.53,24,12,2014
2014-12-26,TATAMOTORS,483.0,487.55,478.95,485.15,0.942,-0.839,0.445,0.942,0.839,0.839,26,12,2014
2014-12-29,TATAMOTORS,485.15,498.0,485.15,495.05,2.649,0.0,2.041,2.649,0.0,0.0,29,12,2014
2014-12-30,TATAMOTORS,499.0,499.5,490.25,493.75,0.1,-1.754,-1.052,1.754,0.1,0.1,30,12,2014
2014-12-31,TATAMOTORS,494.5,498.7,491.05,495.55,0.849,-0.698,0.212,0.849,0.698,0.698,31,12,2014
2015-01-01,TATAMOTORS,494.5,499.45,492.25,498.45,1.001,-0.455,0.799,1.001,0.455,0.455,1,1,2015
2015-01-02,TATAMOTORS,497.25,517.4,497.25,511.8,4.052,0.0,2.926,4.052,0.0,0.0,2,1,2015
2015-01-05,TATAMOTORS,510.1,526.0,506.7,523.8,3.117,-0.667,2.686,3.117,0.667,0.667,5,1,2015
2015-01-06,TATAMOTORS,514.35,514.35,499.25,501.4,0.0,-2.936,-2.518,2.936,0.0,0.0,6,1,2015
2015-01-07,TATAMOTORS,495.0,500.4,489.2,493.85,1.091,-1.172,-0.232,1.172,1.091,1.091,7,1,2015
2015-01-08,TATAMOTORS,504.0,514.8,501.0,512.0,2.143,-0.595,1.587,2.143,0.595,0.595,8,1,2015
2015-01-09,TATAMOTORS,521.25,524.95,515.5,522.3,0.71,-1.103,0.201,1.103,0.71,0.71,9,1,2015
2015-01-12,TATAMOTORS,518.5,524.7,511.25,522.3,1.196,-1.398,0.733,1.398,1.196,1.196,12,1,2015
2015-01-13,TATAMOTORS,520.35,525.7,515.25,519.45,1.028,-0.98,-0.173,1.028,0.98,0.98,13,1,2015
2015-01-14,TATAMOTORS,521.5,526.65,513.95,520.35,0.988,-1.448,-0.221,1.448,0.988,0.988,14,1,2015
2015-01-15,TATAMOTORS,528.3,536.0,523.75,532.95,1.458,-0.861,0.88,1.458,0.861,0.861,15,1,2015
2015-01-16,TATAMOTORS,531.1,535.8,522.4,525.75,0.885,-1.638,-1.007,1.638,0.885,0.885,16,1,2015
2015-01-19,TATAMOTORS,526.5,539.6,523.15,538.5,2.488,-0.636,2.279,2.488,0.636,0.636,19,1,2015
2015-01-20,TATAMOTORS,538.75,561.0,534.75,559.2,4.13,-0.742,3.796,4.13,0.742,0.742,20,1,2015
2015-01-21,TATAMOTORS,556.85,558.45,546.0,551.5,0.287,-1.948,-0.961,1.948,0.287,0.287,21,1,2015
2015-01-22,TATAMOTORS,550.65,568.7,548.55,566.5,3.278,-0.381,2.878,3.278,0.381,0.381,22,1,2015
2015-01-23,TATAMOTORS,575.0,591.15,574.0,588.45,2.809,-0.174,2.339,2.809,0.174,0.174,23,1,2015
2015-01-27,TATAMOTORS,596.05,607.7,596.05,604.55,1.955,0.0,1.426,1.955,0.0,0.0,27,1,2015
2015-01-28,TATAMOTORS,599.0,599.2,587.0,589.2,0.033,-2.003,-1.636,2.003,0.033,0.033,28,1,2015
2015-01-29,TATAMOTORS,586.0,600.7,580.6,598.6,2.509,-0.922,2.15,2.509,0.922,0.922,29,1,2015
2015-01-30,TATAMOTORS,601.4,604.7,581.1,585.15,0.549,-3.375,-2.702,3.375,0.549,0.549,30,1,2015
2015-02-02,TATAMOTORS,587.8,595.9,580.85,592.5,1.378,-1.182,0.8,1.378,1.182,1.182,2,2,2015
2015-02-03,TATAMOTORS,597.65,612.4,596.2,603.3,2.468,-0.243,0.945,2.468,0.243,0.243,3,2,2015
