Date,Symbol,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,Day,Month,Year
2014-09-22,SUZLON,18.35,18.35,18.35,18.35,0.0,0.0,0.0,0.0,0.0,0.0,22,9,2014
2014-09-23,SUZLON,16.55,16.55,16.55,16.55,0.0,0.0,0.0,0.0,0.0,0.0,23,9,2014
2014-09-24,SUZLON,15.75,15.75,15.75,15.75,0.0,0.0,0.0,0.0,0.0,0.0,24,9,2014
2014-09-25,SUZLON,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,25,9,2014
2014-09-26,SUZLON,14.25,14.25,14.25,14.25,0.0,0.0,0.0,0.0,0.0,0.0,26,9,2014
2014-09-29,SUZLON,13.55,13.55,13.55,13.55,0.0,0.0,0.0,0.0,0.0,0.0,29,9,2014
2014-09-30,SUZLON,12.9,12.9,12.9,12.9,0.0,0.0,0.0,0.0,0.0,0.0,30,9,2014
2014-10-01,SUZLON,12.3,13.5,12.3,13.5,9.756,0.0,9.756,9.756,0.0,0.0,1,10,2014
2014-10-07,SUZLON,13.65,14.0,13.1,13.9,2.564,-4.029,1.832,4.029,2.564,2.564,7,10,2014
2014-10-08,SUZLON,13.85,13.9,13.3,13.3,0.361,-3.971,-3.971,3.971,0.361,0.361,8,10,2014
2014-10-09,SUZLON,13.3,13.55,12.65,12.85,1.88,-4.887,-3.383,4.887,1.88,1.88,9,10,2014
2014-10-10,SUZLON,12.4,13.4,12.35,12.95,8.065,-0.403,4.435,8.065,0.403,0.403,10,10,2014
2014-10-13,SUZLON,13.4,13.5,12.85,13.0,0.746,-4.104,-2.985,4.104,0.746,0.746,13,10,2014
2014-10-14,SUZLON,13.15,13.15,12.45,12.65,0.0,-5.323,-3.802,5.323,0.0,0.0,14,10,2014
2014-10-16,SUZLON,12.75,13.05,12.05,12.1,2.353,-5.49,-5.098,5.49,2.353,2.353,16,10,2014
2014-10-17,SUZLON,12.1,12.2,11.5,11.55,0.826,-4.959,-4.545,4.959,0.826,0.826,17,10,2014
2014-10-20,SUZLON,11.7,12.0,11.6,11.65,2.564,-0.855,-0.427,2.564,0.855,0.855,20,10,2014
2014-10-21,SUZLON,11.7,11.8,11.1,11.1,0.855,-5.128,-5.128,5.128,0.855,0.855,21,10,2014
2014-10-22,SUZLON,11.1,11.55,10.85,11.25,4.054,-2.252,1.351,4.054,2.252,2.252,22,10,2014
2014-10-23,SUZLON,11.45,11.8,11.3,11.75,3.057,-1.31,2.62,3.057,1.31,1.31,23,10,2014
2014-10-27,SUZLON,11.95,12.2,11.6,12.1,2.092,-2.929,1.255,2.929,2.092,2.092,27,10,2014
2014-10-28,SUZLON,12.1,12.7,12.1,12.7,4.959,0.0,4.959,4.959,0.0,0.0,28,10,2014
2014-10-29,SUZLON,13.0,13.3,12.9,13.25,2.308,-0.769,1.923,2.308,0.769,0.769,29,10,2014
2014-10-30,SUZLON,13.5,13.65,12.85,13.15,1.111,-4.815,-2.593,4.815,1.111,1.111,30,10,2014
2014-10-31,SUZLON,13.4,13.8,13.2,13.45,2.985,-1.493,0.373,2.985,1.493,1.493,31,10,2014
2014-11-03,SUZLON,13.85,14.05,13.3,13.4,1.444,-3.971,-3.249,3.971,1.444,1.444,3,11,2014
2014-11-05,SUZLON,13.55,14.05,13.45,14.0,3.69,-0.738,3.321,3.69,0.738,0.738,5,11,2014
2014-11-07,SUZLON,14.35,14.7,14.1,14.65,2.439,-1.742,2.091,2.439,1.742,1.742,7,11,2014
2014-11-10,SUZLON,14.9,14.95,14.25,14.65,0.336,-4.362,-1.678,4.362,0.336,0.336,10,11,2014
2014-11-11,SUZLON,14.7,14.85,13.55,14.05,1.02,-7.823,-4.422,7.823,1.02,1.02,11,11,2014
2014-11-12,SUZLON,14.1,14.25,13.7,13.75,1.064,-2.837,-2.482,2.837,1.064,1.064,12,11,2014
2014-11-13,SUZLON,13.75,14.5,13.4,14.25,5.455,-2.545,3.636,5.455,2.545,2.545,13,11,2014
2014-11-14,SUZLON,14.4,14.45,14.05,14.25,0.347,-2.431,-1.042,2.431,0.347,0.347,14,11,2014
2014-11-17,SUZLON,14.1,15.65,14.05,15.15,10.993,-0.355,7.447,10.993,0.355,0.355,17,11,2014
2014-11-18,SUZLON,15.25,15.65,14.6,14.85,2.623,-4.262,-2.623,4.262,2.623,2.623,18,11,2014
2014-11-19,SUZLON,14.9,15.15,14.25,14.45,1.678,-4.362,-3.02,4.362,1.678,1.678,19,11,2014
2014-11-20,SUZLON,14.4,14.65,14.2,14.25,1.736,-1.389,-1.042,1.736,1.389,1.389,20,11,2014
2014-11-21,SUZLON,14.2,14.8,14.1,14.2,4.225,-0.704,0.0,4.225,0.704,0.704,21,11,2014
2014-11-24,SUZLON,14.1,15.2,14.1,14.85,7.801,0.0,5.319,7.801,0.0,0.0,24,11,2014
2014-11-25,SUZLON,14.85,14.95,14.0,14.55,0.673,-5.724,-2.02,5.724,0.673,0.673,25,11,2014
2014-11-26,SUZLON,14.4,14.85,14.35,14.5,3.125,-0.347,0.694,3.125,0.347,0.347,26,11,2014
2014-11-27,SUZLON,14.4,14.55,14.1,14.15,1.042,-2.083,-1.736,2.083,1.042,1.042,27,11,2014
2014-11-28,SUZLON,14.15,14.5,14.0,14.05,2.473,-1.06,-0.707,2.473,1.06,1.06,28,11,2014
2014-12-01,SUZLON,14.0,14.35,13.4,13.5,2.5,-4.286,-3.571,4.286,2.5,2.5,1,12,2014
2014-12-02,SUZLON,13.4,13.4,13.0,13.15,0.0,-2.985,-1.866,2.985,0.0,0.0,2,12,2014
2014-12-03,SUZLON,13.05,14.45,13.0,14.45,10.728,-0.383,10.728,10.728,0.383,0.383,3,12,2014
2014-12-04,SUZLON,14.6,15.45,14.4,14.8,5.822,-1.37,1.37,5.822,1.37,1.37,4,12,2014
2014-12-05,SUZLON,15.1,15.2,14.05,14.1,0.662,-6.954,-6.623,6.954,0.662,0.662,5,12,2014
2014-12-08,SUZLON,14.2,15.45,14.0,14.8,8.803,-1.408,4.225,8.803,1.408,1.408,8,12,2014
2014-12-09,SUZLON,14.5,15.0,14.05,14.15,3.448,-3.103,-2.414,3.448,3.103,3.103,9,12,2014
2014-12-10,SUZLON,14.15,14.85,14.1,14.7,4.947,-0.353,3.887,4.947,0.353,0.353,10,12,2014
2014-12-11,SUZLON,14.7,14.8,14.25,14.35,0.68,-3.061,-2.381,3.061,0.68,0.68,11,12,2014
2014-12-12,SUZLON,14.4,14.55,13.3,13.35,1.042,-7.639,-7.292,7.639,1.042,1.042,12,12,2014
2014-12-15,SUZLON,13.35,13.65,13.1,13.15,2.247,-1.873,-1.498,2.247,1.873,1.873,15,12,2014
2014-12-16,SUZLON,13.15,13.55,12.1,12.9,3.042,-7.985,-1.901,7.985,3.042,3.042,16,12,2014
2014-12-17,SUZLON,12.95,13.1,12.25,12.45,1.158,-5.405,-3.861,5.405,1.158,1.158,17,12,2014
2014-12-18,SUZLON,12.7,13.3,12.7,12.95,4.724,0.0,1.969,4.724,0.0,0.0,18,12,2014
2014-12-19,SUZLON,13.25,13.4,12.45,12.7,1.132,-6.038,-4.151,6.038,1.132,1.132,19,12,2014
2014-12-22,SUZLON,13.2,13.85,13.0,13.75,4.924,-1.515,4.167,4.924,1.515,1.515,22,12,2014
2014-12-23,SUZLON,13.7,13.9,13.2,13.3,1.46,-3.65,-2.92,3.65,1.46,1.46,23,12,2014
2014-12-24,SUZLON,13.2,13.65,13.2,13.3,3.409,0.0,0.758,3.409,0.0,0.0,24,12,2014
2014-12-26,SUZLON,13.25,13.5,13.05,13.1,1.887,-1.509,-1.132,1.887,1.509,1.509,26,12,2014
2014-12-29,SUZLON,13.25,13.4,12.95,13.05,1.132,-2.264,-1.509,2.264,1.132,1.132,29,12,2014
2014-12-30,SUZLON,13.05,13.9,13.05,13.7,6.513,0.0,4.981,6.513,0.0,0.0,30,12,2014
2014-12-31,SUZLON,13.6,15.55,13.45,14.7,14.338,-1.103,8.088,14.338,1.103,1.103,31,12,2014
2015-01-01,SUZLON,14.65,15.0,14.45,14.55,2.389,-1.365,-0.683,2.389,1.365,1.365,1,1,2015
2015-01-02,SUZLON,14.5,15.25,14.5,14.85,5.172,0.0,2.414,5.172,0.0,0.0,2,1,2015
2015-01-05,SUZLON,14.85,15.4,14.7,14.85,3.704,-1.01,0.0,3.704,1.01,1.01,5,1,2015
2015-01-06,SUZLON,14.55,14.65,13.7,14.1,0.687,-5.842,-3.093,5.842,0.687,0.687,6,1,2015
2015-01-07,SUZLON,14.05,16.4,13.9,15.4,16.726,-1.068,9.609,16.726,1.068,1.068,7,1,2015
2015-01-08,SUZLON,15.65,16.05,15.1,15.25,2.556,-3.514,-2.556,3.514,2.556,2.556,8,1,2015
2015-01-09,SUZLON,15.25,15.5,14.65,14.75,1.639,-3.934,-3.279,3.934,1.639,1.639,9,1,2015
